"0","Language","Change","Name"
"","Python","+327","binux/pyspider"
"","Python","+325","jakubroztocil/httpie"
"","Go","+325","syncthing/syncthing"
"","C","+325","robertdavidgraham/robdns"
"","C++","+324","google/protobuf"
"","Objective-C","+324","facebook/AsyncDisplayKit"
"","CSS","+323","necolas/normalize.css"
"","JavaScript","+322","webpack/webpack"
"","CSS","+320","zurb/foundation"
"","JavaScript","+319","facebook/flux"
"","C","+318","SamyPesse/How-to-Make-a-Computer-Operating-System"
"","PHP","+317","commando/dogpatch"
"","Python","+317","sockeye44/instavpn"
"","Java","+316","Rogero0o/MatchView"
"","JavaScript","+316","angular-ui/bootstrap"
"","Java","+315","AnderWeb/discreteSeekBar"
"","CSS","+314","google/web-starter-kit"
"","CSS","+314","t4t5/sweetalert"
"","JavaScript","+314","angular-ui/ui-router"
"","JavaScript","+312","grafana/grafana"
"","Ruby","+311","discourse/discourse"
"","JavaScript","+310","Matt-Esch/virtual-dom"
"","JavaScript","+308","Prinzhorn/skrollr"
"","Java","+305","Subito-it/Masaccio"
"","JavaScript","+304","balderdashy/sails"
"","JavaScript","+302","JexCheng/regulex"
"","Go","+301","square/go-jose"
"","Other","+297","AttackOnDobby/iOS-Core-Animation-Advanced-Techniques"
"","Python","+296","The-Compiler/qutebrowser"
"","Objective-C","+295","rs/SDWebImage"
"","JavaScript","+295","ivaynberg/select2"
"","JavaScript","+295","bartaz/impress.js"
"","C++","+293","BVLC/caffe"
"","Swift","+293","SwiftyJSON/SwiftyJSON"
"","Stata","+292","txthinking/google-hosts"
"","C++","+290","ariya/phantomjs"
"","Objective-C","+288","kevinzhow/Waver"
"","JavaScript","+286","angular/angular-seed"
"","Objective-C","+286","ReactiveCocoa/ReactiveCocoa"
"","JavaScript","+285","rackt/react-router"
"","C","+285","antirez/shapeme"
"","CSS","+285","yahoo/pure"
"","JavaScript","+285","blueimp/jQuery-File-Upload"
"","Objective-C","+285","Vinodh-G/ParallaxTableViewHeader"
"","Java","+285","Manabu-GT/ExpandableTextView"
"","Python","+285","writethedocs/docs"
"","Objective-C++","+283","facebook/pop"
"","Java","+282","google/iosched"
"","Objective-C","+282","Masonry/Masonry"
"","JavaScript","+282","tastejs/todomvc"
"","Other","+281","Microsoft/dotnet"
"","JavaScript","+281","zxlie/WeixinApi"
"","Go","+280","coreos/etcd"
"","JavaScript","+279","addyosmani/a11y"
"","C++","+279","google/leveldb"
"","CSS","+279","crushlovely/skyline"
"","Other","+278","airbnb/javascript"
"","Python","+278","facebook/chisel"
"","Swift","+278","Ramotion/paper-switch"
"","Other","+277","avelino/awesome-go"
"","Java","+277","iluwatar/java-design-patterns"
"","CSS","+277","lumapps/lumX"
"","Go","+277","antonholmquist/jason"
